Schranke: 5142247269111206
[Gewicht,Profit]: 
                    [2636211855, 1403781120]
                    [2987706769, 2807562240]
                    [3570783445, 2684354560]
                    [3593637939, 2246049792]
                    [4294967295, 2147483648]
                    [4294967297, 4288266240]
                    [5166021507, 3430612992]
                    [5989396565, 4492099584]
                    [8963120307, 5615124480]
                   [10712350335, 5368709120]
                   [10796368769, 10737418240]
                   [12884901891, 8576532480]
                   [14938533845, 11230248960]
                   [17968189695, 8984199168]
                   [17968738049, 17968398336]
                   [21474836485, 17153064960]
                   [25830107535, 13722451968]
                   [32389106307, 21474836480]
                   [44815601535, 22460497920]
                   [45167096449, 44920995840]
                   [53906214147, 35936796672]
                   [53981843845, 42949672960]
                   [64424509455, 34306129920]
                   [73014444049, 68612259840]
                   [87822365619, 54889807872]
                   [89843690245, 71873593344]
                  [135501289347, 89841991680]
                  [161945531535, 85899345920]
                  [183538269073, 171798691840]
                  [219043332147, 137224519680]
                  [225835482245, 179683983360]
                  [269531070735, 143747186688]
                  [305468546833, 287494373376]
                  [365072220245, 274449039360]
                  [439111828095, 219559231488]
                  [550614807219, 343597383680]
                  [677506446735, 359367966720]
                  [767840639633, 718735933440]
                  [916405640499, 574988746752]
                  [917691345365, 687194767360]
                 [1095216660735, 548898078720]
                 [1103806595329, 1097796157440]
                 [1317375686787, 878236925952]
                 [1527342734165, 1149977493504]
                 [1837100231809, 1837093257216]
                 [2303521918899, 1437471866880]
                 [2753074036095, 1374389534720]
                 [3311419785987, 2195592314880]
                 [3839203198165, 2874943733760]
                 [4582028202495, 2299954987008]
                 [4617965678593, 4599909974016]
                 [5511300695427, 3674186514432]
                 [5519032976645, 4391184629760]
                 [6586878433935, 3512947703808]
                 [9185501159045, 7348373028864]
                [11517609594495, 5749887467520]
                [11517961089409, 11499774935040]
                [13853897035779, 9199819948032]
                [16557098929935, 8782369259520]
                [18764712120593, 17564738519040]
                [22395386675379, 14051790815232]
                [23089828392965, 18399639896064]
                [27556503477135, 14696746057728]
                [31230703940753, 29393492115456]
                [34553883268227, 22999549870080]
                [56294136361779, 35129477038080]
                [57589805447045, 45999099740160]
                [69269485178895, 36799279792128]
                [78505416536081, 73598559584256]
                [93692111822259, 58786984230912]
                [93823560602965, 70258954076160]
               [111976933376895, 56207163260928]
               [156153519703765, 117573968461824]
               [172769416341135, 91998199480320]
               [195805338519953, 183996398960640]
               [235516249608243, 147197119168512]
               [281470681808895, 140517908152320]
               [281479271743489, 281035816304640]
               [336402106553605, 269121685242880]
               [338565551504259, 224828653043712]
               [392527082680405, 294394238337024]
               [468460559111295, 235147936923648]
               [472134759574913, 470295873847296]
               [587416015559859, 367992797921280]
               [844437815230467, 562071632609280]
               [979026692599765, 735985595842560]
              [1009206319660815, 538243370485760]
              [1143767162282257, 1076486740971520]
              [1177581248041215, 588788476674048]
              [1177581248589569, 1175739684618240]
              [1407396358717445, 1124143265218560]
              [1416404278724739, 940591747694592]
              [1692827757521295, 899314612174848]
              [2360673797874565, 1881183495389184]
              [2937080077799295, 1471971191685120]
              [2960115999978113, 2943942383370240]
              [3431301486846771, 2152973481943040]
              [3532743745768707, 2351479369236480]
              [4222189076152335, 2248286530437120]
              [4785147619639313, 4496573060874240]
